"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3075","test_yandex_logo","tests","Mon Sep 16 22:15:01 MSK 2024","passed","Mon Sep 16 22:15:04 MSK 2024","TestOrder","test_order_page","",""
"","320","test_question_answer[3]","tests","Mon Sep 16 22:12:53 MSK 2024","passed","Mon Sep 16 22:12:54 MSK 2024","TestFAQ","test_faq_page","",""
"","333","test_question_answer[7]","tests","Mon Sep 16 22:14:01 MSK 2024","passed","Mon Sep 16 22:14:01 MSK 2024","TestFAQ","test_faq_page","",""
"","319","test_question_answer[0]","tests","Mon Sep 16 22:12:03 MSK 2024","passed","Mon Sep 16 22:12:03 MSK 2024","TestFAQ","test_faq_page","",""
"","336","test_question_answer[4]","tests","Mon Sep 16 22:13:10 MSK 2024","passed","Mon Sep 16 22:13:11 MSK 2024","TestFAQ","test_faq_page","",""
"","4626","test_order[\u0412\u0430\u0441\u0438\u043b\u0438\u0439-\u0418\u0432\u0430\u043d\u043e\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u041f\u0435\u0441\u0447\u0430\u043d\u0430\u044f, 1-\u0421\u043e\u043a\u043e\u043b-89999999991-grey]","tests","Mon Sep 16 22:14:40 MSK 2024","passed","Mon Sep 16 22:14:44 MSK 2024","TestOrder","test_order_page","",""
"","332","test_question_answer[1]","tests","Mon Sep 16 22:12:20 MSK 2024","passed","Mon Sep 16 22:12:20 MSK 2024","TestFAQ","test_faq_page","",""
"","317","test_question_answer[2]","tests","Mon Sep 16 22:12:37 MSK 2024","passed","Mon Sep 16 22:12:37 MSK 2024","TestFAQ","test_faq_page","",""
"","316","test_question_answer[5]","tests","Mon Sep 16 22:13:27 MSK 2024","passed","Mon Sep 16 22:13:27 MSK 2024","TestFAQ","test_faq_page","",""
"","4680","test_order[\u0410\u043d\u043d\u0430-\u0418\u0432\u0430\u043d\u043e\u0432\u0430-\u041c\u043e\u0441\u043a\u0432\u0430, \u041f\u0440\u043e\u0441\u043f\u0435\u043a\u0442 \u041c\u0438\u0440\u0430, 3-\u0421\u0443\u0445\u0430\u0440\u0435\u0432\u0441\u043a\u0430\u044f-89991234567-black]","tests","Mon Sep 16 22:14:18 MSK 2024","passed","Mon Sep 16 22:14:23 MSK 2024","TestOrder","test_order_page","",""
"","317","test_question_answer[6]","tests","Mon Sep 16 22:13:44 MSK 2024","passed","Mon Sep 16 22:13:44 MSK 2024","TestFAQ","test_faq_page","",""
